corner_label,cap_section,temp_c,vbias_v,device_model,w_um,l_um,wfeed_um,status,srf_hz,c_1ghz_f,c_2ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_2ghz,q_5ghz,q_10ghz,q_20ghz
typ,cap_typ,-40,0.0,cap_cmim,20,20,,PASS,none,6.03060e-13,6.03060e-13,6.03059e-13,6.03057e-13,6.03049e-13,4.79842e+03,2.39921e+03,9.59685e+02,4.79843e+02,2.39921e+02
typ,cap_typ,-40,0.0,cap_cmim,35,35,,PASS,none,1.84267e-12,1.84267e-12,1.84265e-12,1.84260e-12,1.84237e-12,1.57040e+03,7.85202e+02,3.14080e+02,1.57040e+02,7.85200e+01
typ,cap_typ,-40,0.0,cap_cmim,50,50,,PASS,none,3.75712e-12,3.75710e-12,3.75697e-12,3.75649e-12,3.75460e-12,7.70199e+02,3.85100e+02,1.54040e+02,7.70200e+01,3.85099e+01
typ,cap_typ,-40,0.0,cap_rfcmim,20,20,5,PASS,5.37312e+10,6.03302e-13,6.04025e-13,6.09078e-13,6.27191e-13,7.05784e-13,8.57574e+02,4.24649e+02,1.59625e+02,6.76538e+01,2.40545e+01
typ,cap_typ,-40,0.0,cap_rfcmim,35,35,10,PASS,2.65659e+10,1.84561e-12,1.85444e-12,1.91785e-12,2.17167e-12,4.09834e-12,3.30011e+02,1.61852e+02,5.72326e+01,2.04397e+01,3.73040e+00
typ,cap_typ,-40,0.0,cap_rfcmim,50,50,15,PASS,1.60895e+10,3.77274e-12,3.82022e-12,4.18249e-12,6.11714e-12,-5.73998e-12,1.51153e+02,7.33109e+01,2.40011e+01,6.27304e+00,1.92442e+00
typ,cap_typ,-40,1.5,cap_cmim,20,20,,PASS,none,6.03060e-13,6.03060e-13,6.03059e-13,6.03057e-13,6.03049e-13,4.79842e+03,2.39921e+03,9.59685e+02,4.79843e+02,2.39921e+02
typ,cap_typ,-40,1.5,cap_cmim,35,35,,PASS,none,1.84267e-12,1.84267e-12,1.84265e-12,1.84260e-12,1.84237e-12,1.57040e+03,7.85202e+02,3.14080e+02,1.57040e+02,7.85200e+01
typ,cap_typ,-40,1.5,cap_cmim,50,50,,PASS,none,3.75712e-12,3.75710e-12,3.75697e-12,3.75649e-12,3.75460e-12,7.70199e+02,3.85100e+02,1.54040e+02,7.70200e+01,3.85099e+01
typ,cap_typ,-40,1.5,cap_rfcmim,20,20,5,PASS,5.37312e+10,6.03302e-13,6.04025e-13,6.09078e-13,6.27191e-13,7.05784e-13,8.57574e+02,4.24649e+02,1.59625e+02,6.76538e+01,2.40545e+01
typ,cap_typ,-40,1.5,cap_rfcmim,35,35,10,PASS,2.65659e+10,1.84561e-12,1.85444e-12,1.91785e-12,2.17167e-12,4.09834e-12,3.30011e+02,1.61852e+02,5.72326e+01,2.04397e+01,3.73040e+00
typ,cap_typ,-40,1.5,cap_rfcmim,50,50,15,PASS,1.60895e+10,3.77274e-12,3.82022e-12,4.18249e-12,6.11714e-12,-5.73998e-12,1.51153e+02,7.33109e+01,2.40011e+01,6.27304e+00,1.92442e+00
typ,cap_typ,27,0.0,cap_cmim,20,20,,PASS,none,6.03200e-13,6.03200e-13,6.03199e-13,6.03197e-13,6.03190e-13,4.79731e+03,2.39866e+03,9.59462e+02,4.79731e+02,2.39865e+02
typ,cap_typ,27,0.0,cap_cmim,35,35,,PASS,none,1.84310e-12,1.84310e-12,1.84308e-12,1.84303e-12,1.84280e-12,1.57004e+03,7.85020e+02,3.14008e+02,1.57004e+02,7.85018e+01
typ,cap_typ,27,0.0,cap_cmim,50,50,,PASS,none,3.75799e-12,3.75797e-12,3.75784e-12,3.75737e-12,3.75547e-12,7.70020e+02,3.85011e+02,1.54004e+02,7.70021e+01,3.85010e+01
typ,cap_typ,27,0.0,cap_rfcmim,20,20,5,PASS,5.37249e+10,6.03442e-13,6.04165e-13,6.09221e-13,6.27342e-13,7.05976e-13,8.57375e+02,4.24550e+02,1.59588e+02,6.76374e+01,2.40480e+01
typ,cap_typ,27,0.0,cap_rfcmim,35,35,10,PASS,2.65627e+10,1.84604e-12,1.85488e-12,1.91832e-12,2.17227e-12,4.10030e-12,3.29934e+02,1.61814e+02,5.72188e+01,2.04341e+01,3.72834e+00
typ,cap_typ,27,0.0,cap_rfcmim,50,50,15,PASS,1.60876e+10,3.77362e-12,3.82112e-12,4.18357e-12,6.11939e-12,-5.73849e-12,1.51117e+02,7.32935e+01,2.39949e+01,6.27061e+00,1.92528e+00
typ,cap_typ,27,1.5,cap_cmim,20,20,,PASS,none,6.03200e-13,6.03200e-13,6.03199e-13,6.03197e-13,6.03190e-13,4.79731e+03,2.39866e+03,9.59462e+02,4.79731e+02,2.39865e+02
typ,cap_typ,27,1.5,cap_cmim,35,35,,PASS,none,1.84310e-12,1.84310e-12,1.84308e-12,1.84303e-12,1.84280e-12,1.57004e+03,7.85020e+02,3.14008e+02,1.57004e+02,7.85018e+01
typ,cap_typ,27,1.5,cap_cmim,50,50,,PASS,none,3.75799e-12,3.75797e-12,3.75784e-12,3.75737e-12,3.75547e-12,7.70020e+02,3.85011e+02,1.54004e+02,7.70021e+01,3.85010e+01
typ,cap_typ,27,1.5,cap_rfcmim,20,20,5,PASS,5.37249e+10,6.03442e-13,6.04165e-13,6.09221e-13,6.27342e-13,7.05976e-13,8.57375e+02,4.24550e+02,1.59588e+02,6.76374e+01,2.40480e+01
typ,cap_typ,27,1.5,cap_rfcmim,35,35,10,PASS,2.65627e+10,1.84604e-12,1.85488e-12,1.91832e-12,2.17227e-12,4.10030e-12,3.29934e+02,1.61814e+02,5.72188e+01,2.04341e+01,3.72834e+00
typ,cap_typ,27,1.5,cap_rfcmim,50,50,15,PASS,1.60876e+10,3.77362e-12,3.82112e-12,4.18357e-12,6.11939e-12,-5.73849e-12,1.51117e+02,7.32935e+01,2.39949e+01,6.27061e+00,1.92528e+00
typ,cap_typ,125,0.0,cap_cmim,20,20,,PASS,none,6.03424e-13,6.03424e-13,6.03424e-13,6.03422e-13,6.03414e-13,4.79552e+03,2.39776e+03,9.59105e+02,4.79553e+02,2.39776e+02
typ,cap_typ,125,0.0,cap_cmim,35,35,,PASS,none,1.84378e-12,1.84378e-12,1.84377e-12,1.84371e-12,1.84349e-12,1.56945e+03,7.84728e+02,3.13891e+02,1.56946e+02,7.84726e+01
typ,cap_typ,125,0.0,cap_cmim,50,50,,PASS,none,3.75939e-12,3.75937e-12,3.75924e-12,3.75876e-12,3.75686e-12,7.69733e+02,3.84867e+02,1.53947e+02,7.69735e+01,3.84867e+01
